Map			Zone																																																																									Connections								
				Type					Restrictions				Player towns					Neutral towns					Town types									Minimum mines							Mine Density							Terrain									Monsters												Treasure									Zones					Restrictions			
			19					20	1	8	2	8																								1							2				x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	20000	30000	5	10000	20000	9	1000	2000	0	10	21	6000			1	8	2	8
			20					20	1	8	2	8																									1							2			x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	20000	30000	5	10000	20000	9	1000	2000	0	10	22	6000			1	8	2	8
			21					20	1	8	2	8																					1							2							x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	20000	30000	5	10000	20000	9	1000	2000	0	11	25	6000			1	8	2	8
			22					20	1	8	2	8																							1							2					x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	20000	30000	5	10000	20000	9	1000	2000	0	11	26	6000			1	8	2	8
			23					20	1	8	2	8																								1							2				x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	20000	30000	5	10000	20000	9	1000	2000	0	12	31	6000			1	8	2	8
			24					20	1	8	2	8																									1							2			x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	20000	30000	5	10000	20000	9	1000	2000	0	12	32	6000			1	8	2	8
			25					20	1	8	2	8																					1							2							x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	20000	30000	5	10000	20000	9	1000	2000	0	13	33	6000			1	8	2	8
			26					20	1	8	2	8																							1							2					x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	20000	30000	5	10000	20000	9	1000	2000	0	13	34	6000			1	8	2	8
			27					20	1	8	2	8																								1							2				x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	20000	30000	5	10000	20000	9	1000	2000	0	14	39	6000			1	8	2	8
			28					20	1	8	2	8																									1							2			x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	20000	30000	5	10000	20000	9	1000	2000	0	14	40	6000			1	8	2	8
			29					20	1	8	2	8																					1							2							x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	20000	30000	5	10000	20000	9	1000	2000	0	15	43	6000			1	8	2	8
			30					20	1	8	2	8																							1							2					x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	20000	30000	5	10000	20000	9	1000	2000	0	15	44	6000			1	8	2	8
			31					20	1	8	2	8																								1							2				x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	20000	30000	5	10000	20000	9	1000	2000	0	16	45	6000			1	8	2	8
			32					20	1	8	2	8																									1							2			x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	20000	30000	5	10000	20000	9	1000	2000	0	16	46	6000			1	8	2	8
			33					20	1	8	2	8																					1							2							x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	20000	30000	5	10000	20000	9	1000	2000	0	17	25	3000			1	8	2	8
			34					20	1	8	2	8																							1							2					x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	20000	30000	5	10000	20000	9	1000	2000	0	18	19	3000			1	8	2	8
			35					20	1	8	2	8																								1							2				x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	55000	50000	1	20000	40000	9	1000	2000	0	20	21	3000			1	8	2	8
			36					20	1	8	2	8																									1							2			x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	55000	60000	1	20000	40000	9	1000	2000	0	20	28	3000			1	8	2	8
			37					20	1	8	2	8																					1							2							x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	55000	60000	1	20000	40000	9	1000	2000	0	21	29	3000			1	8	2	8
			38					20	1	8	2	8																							1							2					x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	55000	60000	1	20000	40000	9	1000	2000	0	22	23	3000			1	8	2	8
			39					20	1	8	2	8																								1							2				x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	55000	60000	1	20000	40000	9	1000	2000	0	24	32	3000			1	8	2	8
			40					20	1	8	2	8																									1							2			x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	55000	60000	1	20000	40000	9	1000	2000	0	26	27	3000			1	8	2	8
			41					20	1	8	2	8																					1							2							x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	55000	60000	1	20000	40000	9	1000	2000	0	26	34	3000			1	8	2	8
			42					20	1	8	2	8																							1							2					x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	55000	60000	1	20000	40000	9	1000	2000	0	30	31	3000			1	8	2	8
			43					20	1	8	2	8																								1							2				x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	55000	60000	1	20000	40000	9	1000	2000	0	31	39	3000			1	8	2	8
			44					20	1	8	2	8																									1							2			x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	55000	60000	1	20000	40000	9	1000	2000	0	33	41	3000			1	8	2	8
			45					20	1	8	2	8																					1							2							x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	55000	60000	1	20000	40000	9	1000	2000	0	34	35	3000			1	8	2	8
			46					20	1	8	2	8																							1							2					x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	55000	60000	1	20000	40000	9	1000	2000	0	36	44	3000			1	8	2	8
			47					20	1	8	2	8																								1							2				x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	55000	60000	1	20000	40000	9	1000	2000	0	37	45	3000			1	8	2	8
			48					20	1	8	2	8																									1							2			x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	55000	60000	1	20000	40000	9	1000	2000	0	38	39	3000			1	8	2	8
																																																																												40	48	3000			1	8	2	8
																																																																												42	43	3000			1	8	2	8
																																																																												44	45	3000			1	8	2	8
																																																																												46	47	3000			1	8	2	8

